Year,Price
1970,3409.8640649999998
1971,3753.3551549999997
1972,4253.883264
1973,4832.638103
1974,5709.237948
1975,6147.715173
1976,7229.318109999999
1977,7283.5521260000005
1978,7433.558123000001
1979,7932.794047
1980,8757.046269
1981,9763.694011
1982,9871.591473
1983,10711.456909999999
1984,11101.82538
1985,11340.563709999999
1986,11699.3711
1987,13247.64633
1988,15347.45713
1989,16731.97634
1990,17195.56976
1991,17586.91894
1992,16735.31411
1993,16171.485690000001
1994,16021.122940000001
1995,16630.8615
1996,17030.672880000002
1997,17602.27345
1998,16843.19067
1999,17924.487390000002
2000,19531.835890000002
2001,19045.08414
2002,19641.02533
2003,22951.81406
2004,26083.43682
2005,29546.500310000003
2006,33091.63952
2007,36480.6108
2008,37759.145430000004
2009,32922.04597
2010,38584.91897
2011,42476.63692
2012,42856.459460000005
2013,42898.55527
2014,41435.362460000004
2015,35215.36584
2016,34217.18717
2017,36907.61301
2018,37653.28136
